Date,Name,Year,Letterboxd URI
2024-09-17,Mars Express,2023,https://boxd.it/lATC
2024-09-26,Obsession,1976,https://boxd.it/23QM
2024-09-27,The Reflecting Skin,1990,https://boxd.it/1CkY
2024-09-27,Looker,1981,https://boxd.it/2lvM
2024-09-30,Twilight of the Warriors: Walled In,2024,https://boxd.it/yNla
2024-10-02,Sasquatch,2021,https://boxd.it/uPqI
2024-10-03,Slacker,1990,https://boxd.it/1OUu
2024-10-09,Poltergeist,1982,https://boxd.it/2a0o
2024-10-10,Red Rooms,2023,https://boxd.it/ym4c
2024-10-11,One False Move,1991,https://boxd.it/1Cpu
2024-10-11,Crying Freeman,1995,https://boxd.it/1YwC
2024-10-12,The Blob,1988,https://boxd.it/1YgY
2024-10-16,Vidocq,2001,https://boxd.it/1Yhi
2024-10-16,Demon Pond,1979,https://boxd.it/3TF4
2024-10-26,Cells at Work!,2024,https://boxd.it/NJf8
2024-10-29,Day of the Dead,1985,https://boxd.it/20dM
2024-10-29,Rap World,2024,https://boxd.it/LPe2
2024-10-31,The Shout,1978,https://boxd.it/JcU
2024-11-25,Jamon Jamon,1992,https://boxd.it/24dQ
2024-11-25,The Black Hole,1979,https://boxd.it/1Ylu
2024-11-25,A Slave of Love,1976,https://boxd.it/2mIC
2024-11-25,Mother Joan of the Angels,1961,https://boxd.it/3Nny
2024-11-25,Marketa Lazarová,1967,https://boxd.it/1uSS
2024-11-25,Closely Watched Trains,1966,https://boxd.it/29Cm
2024-11-25,The Devil,1972,https://boxd.it/3iRC
2024-11-25,Boris Godunov,1986,https://boxd.it/5YyQ
2024-11-25,Dead Man's Letters,1986,https://boxd.it/2wKy
2024-11-25,A Visitor to a Museum,1989,https://boxd.it/2wKe
2024-12-13,Meeting the Man: James Baldwin in Paris,1970,https://boxd.it/oKjA
2024-12-13,Robinson in Space,1997,https://boxd.it/tii
2024-12-15,The Chronicles of Riddick,2004,https://boxd.it/26iy
2024-12-15,Pitch Black,2000,https://boxd.it/26iS
2024-12-22,Spontaneous Combustion,1989,https://boxd.it/14fK
2024-12-31,The Big Sleep,1946,https://boxd.it/29iQ
2024-12-31,Casablanca,1942,https://boxd.it/2aG0
2025-01-08,My Dinner with Andre,1981,https://boxd.it/1vLe
2025-01-13,Transmutations,1985,https://boxd.it/3fl4
2025-01-13,Rawhead Rex,1986,https://boxd.it/1Q1c
2025-01-14,Nightbreed,1990,https://boxd.it/1Dq4
2025-01-15,Belladonna of Sadness,1973,https://boxd.it/2q
2025-01-15,Angel's Egg,1985,https://boxd.it/1LeA
2025-01-15,Pulse,2001,https://boxd.it/1s3y
2025-01-15,Séance,2000,https://boxd.it/1r4A
2025-01-16,The Baby of Mâcon,1993,https://boxd.it/23qu
2025-01-16,Nightwatching,2007,https://boxd.it/247I
